ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-07-24,World Health Organization COVID-19 Dashboard,139,"1,426,106,093",0.0097
COVID-19,Unspecified,CHINA,2020-07-25,World Health Organization COVID-19 Dashboard,160,"1,426,106,093",0.0112
COVID-19,Unspecified,CHINA,2020-07-26,World Health Organization COVID-19 Dashboard,179,"1,426,106,093",0.0126
COVID-19,Unspecified,CHINA,2020-07-27,World Health Organization COVID-19 Dashboard,189,"1,426,106,093",0.0133
COVID-19,Unspecified,CHINA,2020-07-28,World Health Organization COVID-19 Dashboard,217,"1,426,106,093",0.0152
COVID-19,Unspecified,CHINA,2020-07-29,World Health Organization COVID-19 Dashboard,212,"1,426,106,093",0.0149
COVID-19,Unspecified,CHINA,2020-07-30,World Health Organization COVID-19 Dashboard,223,"1,426,106,093",0.0156
COVID-19,Unspecified,CHINA,2020-07-31,World Health Organization COVID-19 Dashboard,276,"1,426,106,093",0.0194
COVID-19,Unspecified,CHINA,2020-08-01,World Health Organization COVID-19 Dashboard,166,"1,426,106,093",0.0116
COVID-19,Unspecified,CHINA,2020-08-02,World Health Organization COVID-19 Dashboard,180,"1,426,106,093",0.0126
COVID-19,Unspecified,CHINA,2020-08-03,World Health Organization COVID-19 Dashboard,158,"1,426,106,093",0.0111
COVID-19,Unspecified,CHINA,2020-08-04,World Health Organization COVID-19 Dashboard,114,"1,426,106,093",0.0080
COVID-19,Unspecified,CHINA,2020-08-05,World Health Organization COVID-19 Dashboard,108,"1,426,106,093",0.0076
COVID-19,Unspecified,CHINA,2020-08-06,World Health Organization COVID-19 Dashboard,122,"1,426,106,093",0.0086
COVID-19,Unspecified,CHINA,2020-08-07,World Health Organization COVID-19 Dashboard,133,"1,426,106,093",0.0093
COVID-19,Unspecified,CHINA,2020-08-08,World Health Organization COVID-19 Dashboard,120,"1,426,106,093",0.0084
COVID-19,Unspecified,CHINA,2020-08-09,World Health Organization COVID-19 Dashboard,92,"1,426,106,093",0.0065
COVID-19,Unspecified,CHINA,2020-08-10,World Health Organization COVID-19 Dashboard,121,"1,426,106,093",0.0085
COVID-19,Unspecified,CHINA,2020-08-11,World Health Organization COVID-19 Dashboard,113,"1,426,106,093",0.0079
COVID-19,Unspecified,CHINA,2020-08-12,World Health Organization COVID-19 Dashboard,61,"1,426,106,093",0.0043
COVID-19,Unspecified,CHINA,2020-08-13,World Health Organization COVID-19 Dashboard,82,"1,426,106,093",0.0057
COVID-19,Unspecified,CHINA,2020-08-14,World Health Organization COVID-19 Dashboard,99,"1,426,106,093",0.0069
COVID-19,Unspecified,CHINA,2020-08-15,World Health Organization COVID-19 Dashboard,70,"1,426,106,093",0.0049
COVID-19,Unspecified,CHINA,2020-08-16,World Health Organization COVID-19 Dashboard,66,"1,426,106,093",0.0046
COVID-19,Unspecified,CHINA,2020-08-17,World Health Organization COVID-19 Dashboard,98,"1,426,106,093",0.0069
COVID-19,Unspecified,CHINA,2020-08-18,World Health Organization COVID-19 Dashboard,67,"1,426,106,093",0.0047
COVID-19,Unspecified,CHINA,2020-08-19,World Health Organization COVID-19 Dashboard,54,"1,426,106,093",0.0038
COVID-19,Unspecified,CHINA,2020-08-20,World Health Organization COVID-19 Dashboard,33,"1,426,106,093",0.0023
COVID-19,Unspecified,CHINA,2020-08-21,World Health Organization COVID-19 Dashboard,40,"1,426,106,093",0.0028
COVID-19,Unspecified,CHINA,2020-08-22,World Health Organization COVID-19 Dashboard,50,"1,426,106,093",0.0035
COVID-19,Unspecified,CHINA,2020-08-23,World Health Organization COVID-19 Dashboard,38,"1,426,106,093",0.0027
COVID-19,Unspecified,CHINA,2020-08-24,World Health Organization COVID-19 Dashboard,41,"1,426,106,093",0.0029
COVID-19,Unspecified,CHINA,2020-08-25,World Health Organization COVID-19 Dashboard,23,"1,426,106,093",0.0016
